osm_id,highway,name,name_es,lanes,lanes_forward,lanes_backward,turn_lanes,oneway,maxspeed,surface,width,road_category,lanes_count,lanes_source,has_lane_data,lanes_missing,lanes_estimate,estimate_is_fallback,is_oneway
1074505584,primary,Transversal 55,,2,,,,yes,,concrete,,arterial,2.0,osm:lanes,True,False,2.0,False,True
1074505585,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505586,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505587,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505589,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505590,primary,Avenida Calle 100,,,,,,yes,,asphalt,,arterial,,missing,False,True,,True,True
1074505593,primary,Transversal 55,,3,,,,yes,60,concrete,,arterial,3.0,osm:lanes,True,False,3.0,False,True
1074505594,primary,Transversal 60,,3,,,,yes,60,,,arterial,3.0,osm:lanes,True,False,3.0,False,True
1074507430,secondary,Carrera 53,,2,,,,yes,30,asphalt,,collector,2.0,osm:lanes,True,False,2.0,False,True
1076097136,residential,Calle 67C,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097137,residential,Carrera 58,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1076097138,residential,Carrera 58,,2,,,,yes,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1076097139,residential,Calle 67B,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097140,residential,Calle 67A,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097141,residential,Calle 67A,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097142,residential,Carrera 58,,2,,,,yes,30,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,True
1076097143,residential,Calle 66B,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097144,residential,Carrera 59,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097145,residential,Carrera 59,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097146,residential,Calle 66,,2,,,,,,asphalt,,local,2.0,osm:lanes,True,False,2.0,False,False
1076097147,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097148,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
1076097149,secondary,Avenida Carrera 60,,3,,,,yes,,asphalt,,collector,3.0,osm:lanes,True,False,3.0,False,True
